id,reviews,service,location,value,cleanliness,room,facilities
0,床跟棉被都超舒服得！早餐好吃！,1,0,0,0,1,0
1,大廳可以亮堂點,0,0,0,0,0,2
2,房間空間很大很舒適，尤其是陽台真的很大 晚上可以吹吹風看星星 真的不錯,0,0,0,0,1,0
3,沒電梯，爬樓梯比較吃力。,0,0,0,0,0,2
4,如果早餐能夠提供稀飯會更完美無缺,2,0,0,0,0,0
5,隔音超級爛，浴室的熱水忽冷忽熱，廁所竟然不是乾濕分離，有夠智障的設計。,0,0,0,0,2,0
6,入退房方式簡單個人空間足夠,1,0,0,0,1,0
7,自己煮的紅茶好喝。,1,0,0,0,0,0
8,老闆娘跟老闆都很親切 貼心房間超乾淨 早餐也好吃超推薦巷子內走出去就是墾丁大街,1,1,0,1,1,0
10,有附吐司，醬很多種,1,0,0,0,0,0
11,老闆和老闆娘都很熱情，民宿房間佈置乾淨溫馨，山上空氣很好，天氣涼爽適合避暑，民宿地裡位置很好，旁邊就是茶霧步道與二延平步道相連通，早上可以上平台看日出，風景更是美不勝收，老闆娘既漂亮又溫柔，對附近景點非常熟悉，不懂的都可以問她。,1,1,0,1,1,0
12,房間的小設備有些失去功用,0,0,0,0,2,0
13,"地點在玉里鎮中心, 逛街吃飯都方便",0,1,0,0,0,0
15,住宿費cp值高，含早餐.,1,0,1,0,0,0
16,老闆、老闆娘待客熱情,1,0,0,0,0,0
18,因喜歡高雄所以常去高雄旅行，幾乎住遍了高雄四星、五星級飯店，這次因為肺炎疫情股票慘賠所以選相對便宜的京城飯店住三天，但整體而言除了設施稍微老舊外其他都很滿意，房間整潔很舒服浴缸也很大，服務人員也和熱心協助停車，一點也不輸高雄那棟很高的五星級飯店,1,0,1,1,1,2
24,因為和老朋友相見聚會，途中想找個地方過一夜好好地息休，「途中玉里青年旅舍」提供的服務很棒，乾淨有溫暖的背包客床，淋浴及廁所，我自己沒吃完的東西也有冰箱提供暫時存放的服務等，旅舍感覺人到了老地方的感覺，若是只想你是旅行途中找個休息過夜，明天繼續前行的話，這裡真的很適合！很棒。,1,0,0,1,1,0
26,一、由於連續入住需要使用洗衣機、脫水機，沒想到四台壞了三台，皆貼上故障紙條，而脫水機根本無法使用。,0,0,0,0,0,2
27,房間很舒適，睡得很安穩老闆還會分享美食很有心來台東可以來住哦推推推！！！,1,0,0,0,1,0
30,水龍頭水不好不集中 水太小,0,0,0,0,2,0
31,地點離其他景點非常的近，非常方便,0,1,0,0,0,0
34,旅展買住宿券，然後要住又要加錢（旅展時沒說要加錢），早餐不好吃,2,0,2,0,0,0
36,安靜乾淨位置又離各個景點近,0,1,0,1,0,0
37,毛巾浴巾老舊，隔音須改善,0,0,0,0,2,0
38,房內空間夠大，地理位置可看到海景，晚上周邊很安靜，不會影響睡眠品質,0,1,0,0,1,0
