id,review,auxiliary_sentence,label
0,床跟棉被都超舒服得！早餐好吃！,服務,1
0,床跟棉被都超舒服得！早餐好吃！,位置,0
0,床跟棉被都超舒服得！早餐好吃！,性價比,0
0,床跟棉被都超舒服得！早餐好吃！,乾淨,0
0,床跟棉被都超舒服得！早餐好吃！,客房,1
0,床跟棉被都超舒服得！早餐好吃！,設施,0
1,大廳可以亮堂點,服務,0
1,大廳可以亮堂點,位置,0
1,大廳可以亮堂點,性價比,0
1,大廳可以亮堂點,乾淨,0
1,大廳可以亮堂點,客房,0
1,大廳可以亮堂點,設施,2
2,房間空間很大很舒適，尤其是陽台真的很大 晚上可以吹吹風看星星 真的不錯,服務,0
2,房間空間很大很舒適，尤其是陽台真的很大 晚上可以吹吹風看星星 真的不錯,位置,0
2,房間空間很大很舒適，尤其是陽台真的很大 晚上可以吹吹風看星星 真的不錯,性價比,0
2,房間空間很大很舒適，尤其是陽台真的很大 晚上可以吹吹風看星星 真的不錯,乾淨,0
2,房間空間很大很舒適，尤其是陽台真的很大 晚上可以吹吹風看星星 真的不錯,客房,1
2,房間空間很大很舒適，尤其是陽台真的很大 晚上可以吹吹風看星星 真的不錯,設施,0
3,沒電梯，爬樓梯比較吃力。,服務,0
3,沒電梯，爬樓梯比較吃力。,位置,0
3,沒電梯，爬樓梯比較吃力。,性價比,0
3,沒電梯，爬樓梯比較吃力。,乾淨,0
3,沒電梯，爬樓梯比較吃力。,客房,0
3,沒電梯，爬樓梯比較吃力。,設施,2
4,如果早餐能夠提供稀飯會更完美無缺,服務,2
4,如果早餐能夠提供稀飯會更完美無缺,位置,0
4,如果早餐能夠提供稀飯會更完美無缺,性價比,0
4,如果早餐能夠提供稀飯會更完美無缺,乾淨,0
4,如果早餐能夠提供稀飯會更完美無缺,客房,0
4,如果早餐能夠提供稀飯會更完美無缺,設施,0
5,隔音超級爛，浴室的熱水忽冷忽熱，廁所竟然不是乾濕分離，有夠智障的設計。,服務,0
5,隔音超級爛，浴室的熱水忽冷忽熱，廁所竟然不是乾濕分離，有夠智障的設計。,位置,0
5,隔音超級爛，浴室的熱水忽冷忽熱，廁所竟然不是乾濕分離，有夠智障的設計。,性價比,0
5,隔音超級爛，浴室的熱水忽冷忽熱，廁所竟然不是乾濕分離，有夠智障的設計。,乾淨,0
5,隔音超級爛，浴室的熱水忽冷忽熱，廁所竟然不是乾濕分離，有夠智障的設計。,客房,2
5,隔音超級爛，浴室的熱水忽冷忽熱，廁所竟然不是乾濕分離，有夠智障的設計。,設施,0
6,入退房方式簡單個人空間足夠,服務,1
6,入退房方式簡單個人空間足夠,位置,0
6,入退房方式簡單個人空間足夠,性價比,0
6,入退房方式簡單個人空間足夠,乾淨,0
6,入退房方式簡單個人空間足夠,客房,1
6,入退房方式簡單個人空間足夠,設施,0
7,自己煮的紅茶好喝。,服務,1
7,自己煮的紅茶好喝。,位置,0
7,自己煮的紅茶好喝。,性價比,0
7,自己煮的紅茶好喝。,乾淨,0
7,自己煮的紅茶好喝。,客房,0
7,自己煮的紅茶好喝。,設施,0
8,老闆娘跟老闆都很親切 貼心房間超乾淨 早餐也好吃超推薦巷子內走出去就是墾丁大街,服務,1
8,老闆娘跟老闆都很親切 貼心房間超乾淨 早餐也好吃超推薦巷子內走出去就是墾丁大街,位置,1
8,老闆娘跟老闆都很親切 貼心房間超乾淨 早餐也好吃超推薦巷子內走出去就是墾丁大街,性價比,0
8,老闆娘跟老闆都很親切 貼心房間超乾淨 早餐也好吃超推薦巷子內走出去就是墾丁大街,乾淨,1
8,老闆娘跟老闆都很親切 貼心房間超乾淨 早餐也好吃超推薦巷子內走出去就是墾丁大街,客房,1
8,老闆娘跟老闆都很親切 貼心房間超乾淨 早餐也好吃超推薦巷子內走出去就是墾丁大街,設施,0
10,有附吐司，醬很多種,服務,1
10,有附吐司，醬很多種,位置,0
10,有附吐司，醬很多種,性價比,0
10,有附吐司，醬很多種,乾淨,0
10,有附吐司，醬很多種,客房,0
10,有附吐司，醬很多種,設施,0
11,老闆和老闆娘都很熱情，民宿房間佈置乾淨溫馨，山上空氣很好，天氣涼爽適合避暑，民宿地裡位置很好，旁邊就是茶霧步道與二延平步道相連通，早上可以上平台看日出，風景更是美不勝收，老闆娘既漂亮又溫柔，對附近景點非常熟悉，不懂的都可以問她。,服務,1
11,老闆和老闆娘都很熱情，民宿房間佈置乾淨溫馨，山上空氣很好，天氣涼爽適合避暑，民宿地裡位置很好，旁邊就是茶霧步道與二延平步道相連通，早上可以上平台看日出，風景更是美不勝收，老闆娘既漂亮又溫柔，對附近景點非常熟悉，不懂的都可以問她。,位置,1
11,老闆和老闆娘都很熱情，民宿房間佈置乾淨溫馨，山上空氣很好，天氣涼爽適合避暑，民宿地裡位置很好，旁邊就是茶霧步道與二延平步道相連通，早上可以上平台看日出，風景更是美不勝收，老闆娘既漂亮又溫柔，對附近景點非常熟悉，不懂的都可以問她。,性價比,0
11,老闆和老闆娘都很熱情，民宿房間佈置乾淨溫馨，山上空氣很好，天氣涼爽適合避暑，民宿地裡位置很好，旁邊就是茶霧步道與二延平步道相連通，早上可以上平台看日出，風景更是美不勝收，老闆娘既漂亮又溫柔，對附近景點非常熟悉，不懂的都可以問她。,乾淨,1
11,老闆和老闆娘都很熱情，民宿房間佈置乾淨溫馨，山上空氣很好，天氣涼爽適合避暑，民宿地裡位置很好，旁邊就是茶霧步道與二延平步道相連通，早上可以上平台看日出，風景更是美不勝收，老闆娘既漂亮又溫柔，對附近景點非常熟悉，不懂的都可以問她。,客房,1
11,老闆和老闆娘都很熱情，民宿房間佈置乾淨溫馨，山上空氣很好，天氣涼爽適合避暑，民宿地裡位置很好，旁邊就是茶霧步道與二延平步道相連通，早上可以上平台看日出，風景更是美不勝收，老闆娘既漂亮又溫柔，對附近景點非常熟悉，不懂的都可以問她。,設施,0
12,房間的小設備有些失去功用,服務,0
12,房間的小設備有些失去功用,位置,0
12,房間的小設備有些失去功用,性價比,0
12,房間的小設備有些失去功用,乾淨,0
12,房間的小設備有些失去功用,客房,2
12,房間的小設備有些失去功用,設施,0
13,"地點在玉里鎮中心, 逛街吃飯都方便",服務,0
13,"地點在玉里鎮中心, 逛街吃飯都方便",位置,1
13,"地點在玉里鎮中心, 逛街吃飯都方便",性價比,0
13,"地點在玉里鎮中心, 逛街吃飯都方便",乾淨,0
13,"地點在玉里鎮中心, 逛街吃飯都方便",客房,0
13,"地點在玉里鎮中心, 逛街吃飯都方便",設施,0
15,住宿費cp值高，含早餐.,服務,1
15,住宿費cp值高，含早餐.,位置,0
15,住宿費cp值高，含早餐.,性價比,1
15,住宿費cp值高，含早餐.,乾淨,0
15,住宿費cp值高，含早餐.,客房,0
15,住宿費cp值高，含早餐.,設施,0
16,老闆、老闆娘待客熱情,服務,1
16,老闆、老闆娘待客熱情,位置,0
16,老闆、老闆娘待客熱情,性價比,0
16,老闆、老闆娘待客熱情,乾淨,0
16,老闆、老闆娘待客熱情,客房,0
16,老闆、老闆娘待客熱情,設施,0
18,因喜歡高雄所以常去高雄旅行，幾乎住遍了高雄四星、五星級飯店，這次因為肺炎疫情股票慘賠所以選相對便宜的京城飯店住三天，但整體而言除了設施稍微老舊外其他都很滿意，房間整潔很舒服浴缸也很大，服務人員也和熱心協助停車，一點也不輸高雄那棟很高的五星級飯店,服務,1
18,因喜歡高雄所以常去高雄旅行，幾乎住遍了高雄四星、五星級飯店，這次因為肺炎疫情股票慘賠所以選相對便宜的京城飯店住三天，但整體而言除了設施稍微老舊外其他都很滿意，房間整潔很舒服浴缸也很大，服務人員也和熱心協助停車，一點也不輸高雄那棟很高的五星級飯店,位置,0
